;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Bairro;Rota;Setor;Cep Destinatário;
CURICICA       ;243;RIO DE JANEIRO REG.P;22780510;
CIDADE DE DEUS ;243;RIO DE JANEIRO REG.P;22763550;
CENTRO         ;239;NILOPOLIS;26515401;
COSMOS         ;2690;RIO DE JANEIRO-COSMOS/INHOAÍBA;23066272;
PIMENTEL MARQUE;191;BOM JESUS ITABAPONA;28360000;
AEROPORTO      ;202;MACAE;27950050;
VILA BORGERTH  ;2702;BELFORD ROXO;26145215;
FLAMENGO       ;241;RIO DE JANEIRO REG.E;22250020;
COSTA BARROS   ;2693;RIO DE JANEIRO REG. PAVUNA;21515610;
CAJU           ;2799;RIO DE JANEIRO CAJU;20931060;
GUARATIBA      ;2690;RIO DE JANEIRO-GUARATIBA/SEPETIBA;23032670;
GUARATIBA      ;2690;RIO DE JANEIRO-GUARATIBA/SEPETIBA;23032300;
SAO FRANCISCO D;2702;BELFORD ROXO;26120070;
SAO FRANCISCO D;2702;BELFORD ROXO;26120070;
SANTA CRUZ     ;2690;RIO DE JANEIRO-SANTA CRUZ;23520660;
BRISA MAR      ;246;ITAGUAI;23822205;
TEIXEIRAS      ;246;ITAGUAI;23819170;
MAGALHAES BASTO;2694;RIO DE JANEIRO BANGU/REALENGO;21735040;
CASCADURA      ;2782;RIO DE JANEIRO REG.D;21350080;
PARQUE MUISA   ;2701;DUQUE DE CAXIAS;25045710;
JARDIM ANHANGA ;2701;DUQUE DE CAXIAS;25264673;
VISTA ALEGRE   ;248;BARRA MANSA;27320150;
CASA DE PEDRA  ;244;VOLTA REDONDA;27257200;
RETIRO         ;191;SÃO FRANCISCO DE ITABAPOANA;28230000;
PRIMAVERA COLIB;191;RAPOSO;28300000;
PQ NITEROI     ;191;CAMPOS DOS GOYTACAZES - C;28010970;
SAPE           ;195;ITAMBI;24810000;
CIDADE DE DEUS ;243;RIO DE JANEIRO REG.P;22770370;
ANDARAI        ;183;RIO DE JANEIRO REG. TIJUCA;20541210;
ESTACIO        ;183;RIO DE JANEIRO REG. TIJUCA;20260130;
JARDIM DA PAZ  ;2704;MAGE;25926675;
BOA VISTA II   ;248;BARRA MANSA;27336560;
VILA NOVA/SURUI;2704;MAGE;25922336;
INHAUMA        ;2780;RIO DE JANEIRO 2780;20766120;
RANCHO NOVO    ;238;NOVA IGUACU;26013330;
CAMPO GRANDE   ;2690;RIO DE JANEIRO-CAMPO GRANDE/SENADOR VASCONCELOS;23095335;
CIDADE DE DEUS ;243;RIO DE JANEIRO REG.P;22773200;
JACAREPAGUA    ;243;RIO DE JANEIRO REG.P;22753212;
ITAIPU         ;193;NITEROI;24340085;
MARAMBAIA      ;195;SAO GONCALO;24727256;
JACONE         ;192;SAQUAREMA;28999106;
CAROLINA       ;2701;DUQUE DE CAXIAS;25060070;
SAO CRISTOVAO  ;2780;RIO DE JANEIRO 2780;20940200;
CENTRO         ;239;MESQUITA;26553360;
MUMBUCA        ;194;MARICA;24913705;
VISTA ALEGRE   ;248;BARRA MANSA;27320150;
CAJU           ;2799;RIO DE JANEIRO CAJU;20931003;
JARDIM CALIFORN;204;NOVA FRIBURGO;28633740;
RECANTUS       ;2702;BELFORD ROXO;26157337;
RIO DO OURO    ;195;SAO GONCALO;24753000;
MARE           ;2781;RIO DE JANEIRO;21044700;
MANGUEIRA      ;2780;RIO DE JANEIRO 2780;20943000;
SAO FRANCISCO X;2780;RIO DE JANEIRO 2780;20950003;
NOVO SURUBI    ;247;RESENDE;27512126;
ITACURUSSA     ;249;MANGARATIBA;23860000;
NOSSA SENHORA D;239;NILOPOLIS;26520770;
CHATUBA        ;99239;CHATUBA (DIST. MESQUITA);26587000;
RECREIO DOS BAN;246;RIO DE JANEIRO REG.P (RECREIO/VARGEM);22795830;
TANQUE         ;243;RIO DE JANEIRO REG.P;22735140;
VOLDAC         ;244;VOLTA REDONDA;27288001;
OURO VERDE     ;238;NOVA IGUACU;26262040;
TAQUARA        ;243;RIO DE JANEIRO REG.P;22710255;
BOA PERNA      ;192;ARARUAMA;28979899;
BADU           ;193;NITEROI;24320570;
LOTEAMENTO SONH;202;CAMPOS DOS GOYTACAZES - B;28030350;
ICARAI         ;193;NITEROI;24220045;
JACAREPAGUA    ;243;RIO DE JANEIRO REG.P;22753737;
AREAL          ;195;ITABORAI;24800858;
LUIZ DE CAMOES ;237;QUEIMADOS;26381805;
ATERRADO       ;244;VOLTA REDONDA;27213080;
COPACABANA     ;242;RIO DE JANEIRO REG.C;22081025;
ANCHIETA       ;2694;RIO DE JANEIRO-REG-M;21655490;
ANCHIETA       ;2694;RIO DE JANEIRO REG. ANCHIETA;21630190;
VILA ISABEL    ;183;RIO DE JANEIRO REG. TIJUCA;20560020;
VISCONDE DE ARA;202;MACAE;27943670;
PARQUE NOVO JOC;202;CAMPOS DOS GOYTACAZES - A;28020830;
CAIOABA        ;238;NOVA IGUACU;26015180;
MEIER          ;2780;RIO DE JANEIRO 2780;20735110;
JARDIM TRANSMON;240;JAPERI;26453325;
PEDRA DE GUARAT;2690;RIO DE JANEIRO-GUARATIBA/SEPETIBA;23025245;
BANGU          ;2694;RIO DE JANEIRO BANGU/REALENGO;21825380;
PIRANEMA       ;240;SEROPEDICA;23898890;
JACAREPAGUA    ;243;RIO DE JANEIRO REG.P;22750310;
SOMEL          ;246;ITAGUAI (COROA GRANDE/ITIMIRM);23825310;
VILA DA PENHA  ;2781;RIO DE JANEIRO;21220560;
CENTRO         ;237;QUEIMADOS;26300000;
ICONHA         ;2704;GUAPIMIRIM;25949130;
VL SALUTARIS   ;199;PARAIBA DO SUL;25850000;
PIRATININGA    ;193;NITEROI;24350260;
BARRETO        ;193;NITEROI;24110814;
SAO FRANCISCO  ;193;NITEROI;24360300;
ESPERANCA      ;195;ITAMBI;24802355;
JACAREPAGUA    ;243;RIO DE JANEIRO REG.P;22780085;
MARACANA       ;183;RIO DE JANEIRO REG. TIJUCA;20550200;
MARECHAL HERMES;2694;RIO DE JANEIRO-REG-M;21670200;
PARQUE ANCHIETA;2694;RIO DE JANEIRO REG. ANCHIETA;21620380;
GUADALUPE      ;2694;RIO DE JANEIRO-REG-M;21660330;
PARQUE TURF CLU;202;CAMPOS DOS GOYTACAZES - A;28024020;
DONANA         ;191;CAMPOS DOS GOYTACAZES - C;28010970;
ANDARAI        ;183;RIO DE JANEIRO REG. TIJUCA;20560031;
PAQUETA        ;2799;RIO DE JANEIRO CAJU;20396130;
SANTA CRUZ     ;2690;RIO DE JANEIRO-SANTA CRUZ;23570392;
BANGU          ;2694;RIO DE JANEIRO BANGU/REALENGO;21842550;
BANGU          ;2694;RIO DE JANEIRO BANGU/REALENGO;21840447;
BACAXA         ;192;SAQUAREMA;28994720;
VILA CAPRI     ;192;ARARUAMA;28981640;
VILA CENTRAL   ;237;QUEIMADOS;26316106;
CIDADE JARDIM M;240;JAPERI;26410230;
GUARATIBA      ;2690;RIO DE JANEIRO-GUARATIBA/SEPETIBA;23035372;
VILA COLUMBIA  ;2703;S.JOAO DE MERITI P.A. REG B;25575613;
SANTA CRUZ     ;2690;RIO DE JANEIRO-SANTA CRUZ;23515170;
PACIENCIA      ;2690;RIO DE JANEIRO-PACIENCIA;23065620;
BANGU          ;2694;RIO DE JANEIRO BANGU/REALENGO;21842550;
MAZOMBA        ;246;ITAGUAI;23830165;
ESTRADA DA SAUD;200;PETROPOLIS;25610240;
JARDIM ANGELINA;245;VALENCA;27600000;
RAMOS          ;2781;RIO DE JANEIRO;21030460;
BANGU          ;2694;RIO DE JANEIRO BANGU/REALENGO;21863290;
WONA           ;2702;BELFORD ROXO;26175310;
PAULINE        ;9702;BELFORD ROXO REGIAO 2;26170210;
PIEDADE        ;2782;RIO DE JANEIRO REG.D;21380246;
BOQUEIRAO      ;192;SAQUAREMA;28990538;
WEDA           ;246;ITAGUAI;23822150;
SANTO CRISTO   ;183;RIO DE JANEIRO REG. TIJUCA;20220602;
JARDIM PERNAMBU;238;NOVA IGUACU;26275000;
PITA           ;195;SAO GONCALO;24412000;
PARQUE ELDORADO;2701;DUQUE DE CAXIAS REG A;25240590;
JARDIM CANAA   ;238;NOVA IGUACU;26263190;
PATRONATO      ;195;SAO GONCALO;24431635;
JARDIM CAICARA ;192;CABO FRIO;28910250;
CENTRO         ;192;ARRAIAL DO CABO;28930000;
SANTA CRUZ     ;2690;RIO DE JANEIRO-SANTA CRUZ;23575000;
CENTRO         ;183;RIO DE JANEIRO REG. TIJUCA;20050902;
SANTA TEREZA   ;9702;BELFORD ROXO REGIAO 2;26193420;
RASA           ;192;ARMACAO DE BUZIOS;28950000;
TAQUARA        ;243;RIO DE JANEIRO REG.P;22740362;
BAIA BRANCA/GUI;2704;MAGE;25928080;
JARDIM DA PAZ  ;2704;MAGE;25926819;
VALE DO PARAISO;201;TERESOPOLIS;25976095;
VILA VALQUEIRE ;2782;RIO DE JANEIRO REG.D;21330460;
PENHA          ;2781;RIO DE JANEIRO;21070620;
GOYA GUIA DE PA;2704;SURUI;25925240;
SANTA ISABEL   ;195;SAO GONCALO;24738765;
SOPOTO         ;192;IGUABA GRANDE;28960894;
GALEAO         ;2782;RIO DE JANEIRO REG.D;21941794;
INDUSTRIAL     ;194;CASIMIRO DE ABREU;28860000;
JD DA PAZ GUIA ;2704;MAGE;25926729;
GRAJAU         ;183;RIO DE JANEIRO REG. TIJUCA;20561098;
NITEROI        ;191;RAPOSO;28300000;
JACAREPAGUA    ;243;RIO DE JANEIRO REG.P;22783115;
LUIZ DE CAMOES ;237;QUEIMADOS;26381814;
TODOS OS SANTOS;2780;RIO DE JANEIRO 2780;20770130;
ENGENHO DA RAIN;2780;RIO DE JANEIRO 2780;20765171;
CAMPO GRANDE   ;2690;RIO DE JANEIRO-CAMPO GRANDE/SENADOR VASCONCELOS;23097606;
SANTA CRUZ     ;2690;RIO DE JANEIRO-SANTA CRUZ;23560140;
IPIRANGA       ;2704;MAGE;25927112;
CAMPO GRANDE   ;2690;RIO DE JANEIRO-CAMPO GRANDE/SENADOR VASCONCELOS;23075110;
AGRI+ES        ;201;TERESOPOLIS;25963002;
REALENGO       ;2694;RIO DE JANEIRO BANGU/REALENGO;21735230;
VILAR DOS TELES;2703;S.JOAO DE MERITI P.A. REG A;25565040;
PRACA SECA     ;2782;RIO DE JANEIRO REG.D;21320100;
JARDIM DA PAZ  ;2704;MAGE;25926675;
JARDIM JOSE BON;2703;S.JOAO DE MERITI P.A. REG A;25565260;
PACIENCIA      ;2690;RIO DE JANEIRO-PACIENCIA;23587404;
JARDIM DA PAZ  ;2704;MAGE;25926648;
BENFICA        ;2780;RIO DE JANEIRO 2780;20930004;
RIO D OURO     ;240;JAPERI;26460240;
CAMPO GRANDE   ;2690;RIO DE JANEIRO-CAMPO GRANDE/SENADOR VASCONCELOS;23095040;
GUARATIBA      ;2690;RIO DE JANEIRO-GUARATIBA/SEPETIBA;23033160;
VILA RICA      ;244;VOLTA REDONDA;27240061;
VARGEM PEQUENA ;246;RIO DE JANEIRO REG.P (RECREIO/VARGEM);22783117;
CORDOVIL       ;2781;RIO DE JANEIRO;21012130;
BANGU          ;2694;RIO DE JANEIRO BANGU/REALENGO;21810073;
AFONSO ARINOS  ;199;LEVY GASPARIAN;25870000;
REALENGO       ;2694;RIO DE JANEIRO BANGU/REALENGO;21721280;
CAMPO GRANDE   ;2690;RIO DE JANEIRO-CAMPO GRANDE/SENADOR VASCONCELOS;23045400;
ANDARAI        ;183;RIO DE JANEIRO REG. TIJUCA;20510360;
MOMBACA        ;192;SAQUAREMA;28990021;
SEPETIBA       ;2690;RIO DE JANEIRO-GUARATIBA/SEPETIBA;23540390;
HIGIENOPOLIS   ;2781;RIO DE JANEIRO;21061040;
MIRANDOPOLIS   ;247;QUATIS;27420130;
TODOS OS SANTOS;2780;RIO DE JANEIRO 2780;20770290;
JARDIM DA PAZ  ;2704;MAGE;25926711;
FLEXEIRAS      ;2704;MAGE;25900276;
JARDIM XAVANTES;2702;BELFORD ROXO;26160080;
VILA COLUMBIA  ;2703;S.JOAO DE MERITI P.A. REG B;25575613;
PARQUE EMBAIXAD;247;RESENDE;27537100;
PAIOL DE POLVOR;239;NILOPOLIS;26545550;
VOLDAC         ;244;VOLTA REDONDA;27285411;
CURICICA       ;243;RIO DE JANEIRO REG.P;22710010;
BRISA MAR      ;246;ITAGUAI;23823270;
SEPETIBA       ;2690;RIO DE JANEIRO-GUARATIBA/SEPETIBA;23535450;
VILA ISABEL    ;183;RIO DE JANEIRO REG. TIJUCA;20560120;
OLINDA         ;239;NILOPOLIS;26545280;
CHATUBA        ;99239;CHATUBA (DIST. MESQUITA);26585061;
PAIOL DE POLVOR;239;NILOPOLIS;26545447;
BERNARDO KELNER;238;NOVA IGUACU;26031840;
CIDADE HORACIO ;2704;MAGE;25931606;
DO CARMO       ;237;QUEIMADOS;26381358;
ANCHIETA       ;2694;RIO DE JANEIRO REG. ANCHIETA;21645420;
CENTRO         ;204;NOVA FRIBURGO;28623000;
COELHO DA ROCHA;2703;S.JOAO DE MERITI P.A. REG A;25550590;
FLAMENGO       ;241;RIO DE JANEIRO REG.E;22250020;
CENTRO         ;248;PIRAI;27175000;
CACUIA         ;2782;RIO DE JANEIRO REG.D;21921100;
VILA CENTRAL   ;237;QUEIMADOS;26316164;
SPAR           ;194;MARICA;24944390;
MUTONDO        ;195;SAO GONCALO;24445320;
CAMPO GRANDE   ;2690;RIO DE JANEIRO-GUARATIBA/SEPETIBA;23040310;
GUARATIBA      ;2690;RIO DE JANEIRO-GUARATIBA/SEPETIBA;23031191;
CAMPO GRANDE   ;2690;RIO DE JANEIRO-GUARATIBA/SEPETIBA;23036315;
GUARATIBA      ;2690;RIO DE JANEIRO-GUARATIBA/SEPETIBA;23025070;
PARQUE PAULICEI;2701;DUQUE DE CAXIAS;25080040;
DEL CASTILHO   ;2780;RIO DE JANEIRO 2780;20760060;
OLARIA         ;2781;RIO DE JANEIRO;21073430;
RETIRO         ;244;VOLTA REDONDA;27281580;
JARDIM BEIRA RI;247;RESENDE;27525720;
CENTRO         ;245;BARRA DO PIRAI;27123120;
MAUA           ;2704;GUIA DE PACOBAIBA;25930000;
VILA LEOPOLDINA;2701;DUQUE DE CAXIAS;25030070;
PARQUE CENTENAR;2701;DUQUE DE CAXIAS;25030365;
VILA EMA       ;2701;DUQUE DE CAXIAS REG A;25266340;
SAO CRISTOVAO  ;2780;RIO DE JANEIRO 2780;20940010;
CONEGO         ;204;NOVA FRIBURGO;28621350;
KENNEDY        ;238;NOVA IGUACU;26020200;
VILA CENTRAL   ;240;JAPERI;26430310;
ANDARAI        ;183;RIO DE JANEIRO REG. TIJUCA;20540220;
Vila Mariana   ;2506;MENDES;26700000;
CHATUBA        ;99239;CHATUBA (DIST. MESQUITA);26587250;
CAJU           ;2799;RIO DE JANEIRO CAJU;20931026;
CALIFORNIA     ;238;NOVA IGUACU;26220390;
METROPOLE      ;238;NOVA IGUACU;26215170;
PARQUE CENTENAR;2701;DUQUE DE CAXIAS;25030410;
