;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Bairro;Rota;Setor;Cep Destinatário;
CAMPINHO       ;2782;RIO DE JANEIRO REG.D;21341460;
PIEDADE        ;2780;RIO DE JANEIRO 2780;20751260;
GUADALUPE      ;2694;RIO DE JANEIRO-REG-M;21660170;
TANQUE         ;243;RIO DE JANEIRO REG.P;22735020;
CAMPO GRANDE   ;2690;RIO DE JANEIRO-CAMPO GRANDE/SENADOR VASCONCELOS;23045795;
PADRE MIGUEL   ;2694;RIO DE JANEIRO BANGU/REALENGO;21810200;
CAMPO GRANDE   ;2690;RIO DE JANEIRO-CAMPO GRANDE/SENADOR VASCONCELOS;23088000;
BANGU          ;2694;RIO DE JANEIRO BANGU/REALENGO;21864510;
AREAL          ;249;ANGRA DOS REIS;23932140;
TAQUARA        ;243;RIO DE JANEIRO REG.P;22775112;
VALE DO PARAISO;201;TERESOPOLIS;25976225;
BOTAFOGO       ;196;CARMO;28640000;
PARQUE AMARO   ;240;JAPERI;26445277;
ICARAI         ;193;NITEROI;24220071;
BARRO BRANCO   ;2701;DUQUE DE CAXIAS REG A;25267100;
PARQUE HOTEL   ;192;ARARUAMA;28981506;
ENGENHEIRO PEDR;240;JAPERI;26445190;
SAO JORGE      ;240;JAPERI;26475045;
S BRAS         ;240;JAPERI;26450055;
SANTA RITA     ;238;NOVA IGUACU;26050480;
JUSCELINO      ;239;MESQUITA;26550010;
JACAREPAGUA    ;243;RIO DE JANEIRO REG.P;22780170;
LIBERDADE      ;199;PARAIBA DO SUL;25850000;
SANTA CRUZ     ;2690;RIO DE JANEIRO-SANTA CRUZ;23555041;
PARQUE DO IMBUI;201;TERESOPOLIS INT;25970580;
POUSO ALEGRE   ;198;S JOSE V RIO PRETO;25780000;
GARAPA         ;202;CONCEICAO DO MACABU;28740000;
COSMOS         ;2690;RIO DE JANEIRO-COSMOS/INHOAÍBA;23060690;
GUARATIBA      ;2690;RIO DE JANEIRO-GUARATIBA/SEPETIBA;23035120;
SANTO AGOSTINHO;244;VOLTA REDONDA;27210375;
BRISA MAR      ;246;ITAGUAI (COROA GRANDE/ITIMIRM);23826230;
TIJUCA         ;183;RIO DE JANEIRO REG. TIJUCA;20520055;
GRAJAU         ;183;RIO DE JANEIRO REG. TIJUCA;20540341;
SANTA CRUZ     ;2690;RIO DE JANEIRO-PACIENCIA;23065635;
PARQUE ELDORADO;2701;DUQUE DE CAXIAS REG A;25240513;
JARDIM WILLIS  ;240;JAPERI;26463165;
PARQUE CACULA  ;2704;MAGE;25936720;
CENTRO         ;245;BARRA DO PIRAI;27135080;
BANGU          ;2694;RIO DE JANEIRO BANGU/REALENGO;21866050;
GOITACAZES     ;202;CAMPOS DOS GOYTACAZES - B;28110000;
SANTO ANTONIO  ;2701;DUQUE DE CAXIAS;25235109;
JOAO CAETANO   ;195;ITAMBI;24866548;
CENTRO         ;2702;BELFORD ROXO;26130200;
AQUARIUS       ;192;CABO FRIO DISTRITO;28925618;
ALDEIA DA PRATA;195;ITAMBI;24858040;
CACHAMBI       ;2780;RIO DE JANEIRO 2780;20780370;
CENTRO         ;196;DUAS BARRAS;28650000;
VILA INHOMIRIM ;2704;MAGE;25937468;
FLESMAM        ;237;QUEIMADOS;26327180;
TIJUCA         ;183;RIO DE JANEIRO REG. TIJUCA;20511190;
STA TERESA     ;183;RIO DE JANEIRO REG. TIJUCA;20240192;
CURICICA       ;243;RIO DE JANEIRO REG.P;22780760;
ANCHIETA       ;2694;RIO DE JANEIRO REG. ANCHIETA;21645150;
CENTRO         ;2703;S.JOAO DE MERITI P.A. REG A;25515046;
COSMOS         ;2690;RIO DE JANEIRO-COSMOS/INHOAÍBA;23059340;
CORDOVIL       ;2781;RIO DE JANEIRO;21012110;
CARANGOLA      ;200;PETROPOLIS;25715260;
BINGEN         ;200;PETROPOLIS;25665132;
ITABAPOANA     ;191;SÃO FRANCISCO DE ITABAPOANA;28245000;
JARDIM MERITI  ;2703;S.JOAO DE MERITI P.A. REG A;25555120;
SENADOR CAMARA ;2694;RIO DE JANEIRO BANGU/REALENGO;21833280;
OSWALDO CRUZ   ;2694;RIO DE JANEIRO REG. ANCHIETA;21351170;
CARMARI        ;238;NOVA IGUACU;26022175;
SIDERLANDIA    ;244;VOLTA REDONDA;27273605;
REALENGO       ;2694;RIO DE JANEIRO BANGU/REALENGO;21730205;
CAMPO GRANDE   ;2690;RIO DE JANEIRO-CAMPO GRANDE/SENADOR VASCONCELOS;23075075;
CAMPO GRANDE   ;2690;RIO DE JANEIRO-CAMPO GRANDE/SENADOR VASCONCELOS;23090310;
BANGU          ;2694;RIO DE JANEIRO BANGU/REALENGO;21840600;
CAMPO GRANDE   ;2690;RIO DE JANEIRO-COSMOS/INHOAÍBA;23059001;
BANGU          ;2694;RIO DE JANEIRO BANGU/REALENGO;21725560;
VILA MAIA      ;2702;BELFORD ROXO;26163480;
JACARE         ;2780;RIO DE JANEIRO 2780;20972190;
AFONSO ARINOS  ;199;LEVY GASPARIAN;25870000;
IRAJA          ;2781;RIO DE JANEIRO;21230043;
JARDIM NOVA ERA;238;NOVA IGUACU;26265560;
JARDIM NOVA ERA;238;NOVA IGUACU;26272150;
TIJUCA         ;183;RIO DE JANEIRO REG. TIJUCA;20261130;
PARQUE AEROPORT;202;CAMPOS DOS GOYTACAZES - A;28093000;
MEIER          ;2780;RIO DE JANEIRO 2780;20725220;
ENGENHO NOVO   ;2780;RIO DE JANEIRO 2780;20950360;
VILA SAO LUIS  ;2701;DUQUE DE CAXIAS;25065051;
COSMOS         ;2690;RIO DE JANEIRO-COSMOS/INHOAÍBA;23066470;
VILA KOSMOS    ;2781;RIO DE JANEIRO;21220120;
PARQUE ANTARTIC;238;NOVA IGUACU;26053040;
CENTRO         ;238;NOVA IGUACU;26255050;
OURO VERDE     ;238;NOVA IGUACU;26263175;
TOMAZINHO      ;2703;S.JOAO DE MERITI P.A. REG B;25530361;
JARDIM AMERICA ;2781;RIO DE JANEIRO;21240330;
CIDADE PRAIANA ;192;RIO DAS OSTRAS;28890080;
CIDADE NOVA    ;192;IGUABA GRANDE;28960000;
QUITANDINHA    ;200;PETROPOLIS;25650170;
VIGARIO GERAL  ;2781;RIO DE JANEIRO;21241305;
CAMPO GRANDE   ;2690;RIO DE JANEIRO-CAMPO GRANDE/SENADOR VASCONCELOS;23052090;
ELIANE         ;195;SAO GONCALO;24738280;
CENTRO         ;196;DUAS BARRAS;28650000;
CENTRO         ;196;CARMO;28640000;
SEPETIBA       ;2690;RIO DE JANEIRO-GUARATIBA/SEPETIBA;23530538;
SANTISSIMO     ;2690;RIO DE JANEIRO-CAMPO GRANDE/SENADOR VASCONCELOS;23098036;
CAMPO GRANDE   ;2690;RIO DE JANEIRO-CAMPO GRANDE/SENADOR VASCONCELOS;23078450;
SENADOR CAMARA ;2694;RIO DE JANEIRO BANGU/REALENGO;21843709;
VILA SAO LUIS  ;2701;DUQUE DE CAXIAS;25065051;
OLAVO BILAC    ;2701;DUQUE DE CAXIAS;25036370;
ALTO DA SERRA  ;200;PETROPOLIS;25635310;
SHANGRI LA     ;2702;BELFORD ROXO;26127380;
VILA MURY      ;244;VOLTA REDONDA;27281490;
FREGUESIA      ;2782;RIO DE JANEIRO REG.D;21911280;
CAMPO GRANDE   ;2690;RIO DE JANEIRO-CAMPO GRANDE/SENADOR VASCONCELOS;23095240;
CENTRO         ;2701;DUQUE DE CAXIAS;25010007;
TOMAZINHO      ;2703;S.JOAO DE MERITI P.A. REG B;25530230;
JARDIM MERITI  ;2703;S.JOAO DE MERITI P.A. REG A;25555541;
JARDIM IGUACU  ;238;NOVA IGUACU;26281336;
PRQ FELICIDADE ;2701;DUQUE DE CAXIAS;25080550;
ITAMARATI      ;200;PETROPOLIS;25710130;
Francisco Frago;2505;MIGUEL PEREIRA;26900000;
MARE           ;2781;RIO DE JANEIRO;21046420;
CAMPO GRANDE   ;2690;RIO DE JANEIRO-CAMPO GRANDE/SENADOR VASCONCELOS;23016250;
ESPERANCA      ;195;ITAMBI;24802180;
KENNEDY        ;238;NOVA IGUACU;26021150;
PARQUE MATARUNA;192;ARARUAMA;28979723;
VILA CENTENARIO;2701;DUQUE DE CAXIAS;25030010;
NOVO MEXICO    ;195;SAO GONCALO;24750480;
CENTRO         ;195;ITABORAI;24800021;
SANTO EXPEDITO ;195;ITAMBI;24812472;
GAVEA          ;242;RIO DE JANEIRO REG.C;22451265;
BINGEN         ;200;PETROPOLIS;25660320;
QUITANDINHA    ;200;PETROPOLIS;25651160;
RIBEIRA        ;2782;RIO DE JANEIRO REG.D;21930130;
CENTRO         ;196;CANTAGALO;28500000;
OLINDA         ;239;NILOPOLIS;26545030;
ACUDE          ;244;VOLTA REDONDA;27276130;
COELHO DA ROCHA;2703;S.JOAO DE MERITI P.A. REG A;25550222;
HELIOPOLIS     ;2702;BELFORD ROXO;26125100;
CENTRO         ;194;MARICA;24901005;
SAO JORGE      ;240;JAPERI;26435350;
BOTAFOGO       ;241;RIO DE JANEIRO REG.E;22270070;
FAZENDA SOBRADI;2704;MAGE;25932515;
CENTRO         ;199;AREAL;25845000;
CIDADE DE DEUS ;243;RIO DE JANEIRO REG.P;22773027;
REALENGO       ;2694;RIO DE JANEIRO BANGU/REALENGO;21735035;
REALENGO       ;2694;RIO DE JANEIRO BANGU/REALENGO;21760520;
POSSE          ;200;"PETROPOLIS - INTERIOR
";25770460;
ANIL           ;243;RIO DE JANEIRO REG.P;22753050;
TURIACU        ;0;RIO DE JANEIRO REG CUFA;21540900;
CEDRO          ;199;AREAL;25845000;
Jardim Itatiaia;247;ITATIAIA;27580000;
LIBERDADE      ;247;RESENDE;27521190;
ENGENHO DE DENT;2780;RIO DE JANEIRO 2780;20730320;
PARQUE LAFAIETE;2701;DUQUE DE CAXIAS;25015001;
IMBAU          ;194;SILVA JARDIM;28820000;
BANGU          ;2694;RIO DE JANEIRO BANGU/REALENGO;21866300;
CENTRO         ;200;PETROPOLIS;25620050;
MARECHAL HERMES;2694;RIO DE JANEIRO REG. ANCHIETA;21555480;
COPACABANA     ;242;RIO DE JANEIRO REG.C;22031112;
BANGU          ;2694;RIO DE JANEIRO BANGU/REALENGO;21825340;
REALENGO       ;2694;RIO DE JANEIRO BANGU/REALENGO;21725180;
MARE           ;2781;RIO DE JANEIRO;21046600;
PARADA IDEAL   ;2704;GUAPIMIRIM;25942648;
SAMPAIO        ;2780;RIO DE JANEIRO 2780;20950072;
SANTO EXPEDITO ;195;ITAMBI;24812500;
VILA GABRIELA  ;195;ITAMBI;24856212;
FONSECA        ;193;NITEROI;24130025;
FONSECA        ;193;NITEROI;24130410;
CIDADE ALEGRIA ;247;RESENDE;27525041;
JARDIM WILLIS  ;240;JAPERI;26463270;
VILA NASCENTE  ;237;QUEIMADOS;26327210;
VILA BOM JARDIM;240;JAPERI;26465030;
MARINGA        ;9702;BELFORD ROXO REGIAO 2;26173500;
REALENGO       ;2694;RIO DE JANEIRO BANGU/REALENGO;21735170;
VILA SAO LUIS  ;2701;DUQUE DE CAXIAS;25065051;
SAO JOSE DO IMB;194;MARICA;24931825;
BOM PASTOR     ;9702;BELFORD ROXO REGIAO 2;26110520;
GAVEA          ;242;RIO DE JANEIRO REG.C;22451265;
JARDIM ALVORADA;238;NOVA IGUACU;26265060;
QUARTEIRAO BRAS;200;PETROPOLIS;25680250;
JARDIM MANCHETE;247;ITATIAIA;27580000;
BENTO RIBEIRO  ;2694;RIO DE JANEIRO REG. ANCHIETA;21550610;
VILA PRINCIPAL ;248;BARRA MANSA;27338190;
PARQUE AFONSO  ;2702;BELFORD ROXO;26185240;
AREIA BRANCA   ;9702;BELFORD ROXO REGIAO 2;26112020;
FLAMENGO       ;194;MARICA;24903775;
VILA GUIMARAES ;238;NOVA IGUACU;26088475;
EDSON PASSOS   ;239;MESQUITA;26584200;
ROSELANDIA     ;248;BARRA MANSA;27338290;
PARQUE LAFAIETE;2701;DUQUE DE CAXIAS;25015580;
VARGEM GRANDE  ;201;TERESOPOLIS INT;25976447;
REALENGO       ;2694;RIO DE JANEIRO BANGU/REALENGO;21730190;
MIRANDOPOLIS   ;247;QUATIS;27420130;
BARRA DA TIJUCA;243;RIO DE JANEIRO REG.P;22793000;
TAUA           ;2782;RIO DE JANEIRO REG.D;21910510;
ATERRADO       ;244;VOLTA REDONDA;27213080;
CENTRO         ;248;BARRA MANSA;27345000;
CENTRO         ;248;BARRA MANSA;27345000;
PARQUE RECREIO ;2704;MAGE;25924440;
GARDENIA AZUL  ;243;RIO DE JANEIRO REG.P;22765438;
ALCANTARA      ;195;SAO GONCALO;24711230;
SANTA CLARA    ;248;BARRA MANSA;27340700;
REALENGO       ;2694;RIO DE JANEIRO BANGU/REALENGO;21770172;
VILA MAIA      ;2702;BELFORD ROXO;26160630;
IRAJA          ;2781;RIO DE JANEIRO;21230075;
TOMAZINHO      ;2703;S.JOAO DE MERITI P.A. REG B;25525520;
PAVUNA         ;2694;RIO DE JANEIRO-REG-M;21655149;
TAQUARA        ;243;RIO DE JANEIRO REG.P;22720011;
BOTAFOGO       ;241;RIO DE JANEIRO REG.E;22270070;
PEDRA DE GUARAT;2690;RIO DE JANEIRO-GUARATIBA/SEPETIBA;23027140;
BRISA MAR      ;246;ITAGUAI (COROA GRANDE/ITIMIRM);23825205;
CENTRO         ;247;QUATIS;27410130;
BANGU          ;2694;RIO DE JANEIRO BANGU/REALENGO;21875250;
SANTA CRUZ     ;2690;RIO DE JANEIRO-SANTA CRUZ;23560340;
SANTA CRUZ     ;2690;RIO DE JANEIRO-SANTA CRUZ;23525109;
RAUL VEIGA     ;195;SAO GONCALO;24710560;
JARDIM CATARINA;195;SAO GONCALO;24716456;
JARDIM CATARINA;195;SAO GONCALO;24716390;
CACHAMBI       ;2780;RIO DE JANEIRO 2780;20780320;
CAMPO GRANDE   ;2690;RIO DE JANEIRO-CAMPO GRANDE/SENADOR VASCONCELOS;23015260;
FANCHEM        ;237;QUEIMADOS;26383533;
GUARATIBA      ;2690;RIO DE JANEIRO-GUARATIBA/SEPETIBA;23033160;
BANGU          ;2694;RIO DE JANEIRO BANGU/REALENGO;21863180;
SANTA CRUZ     ;2690;RIO DE JANEIRO-SANTA CRUZ;23525173;
PARQUE DOS ARTI;2704;MAGE;25919333;
VILA EMIL      ;239;MESQUITA;26580120;
LINS DE VASCONC;2780;RIO DE JANEIRO 2780;20725120;
CENTRO         ;238;NOVA IGUACU;26255000;
CENTRO         ;238;NOVA IGUACU;26255230;
SANTA LUZIA    ;195;SAO GONCALO;24722315;
INGA           ;193;NITEROI;24210480;
PRAIA GRANDE   ;2507;PARATI;23970000;
CENTRO         ;193;NITEROI;24020055;
NOVO MEXICO    ;195;SAO GONCALO;24750055;
NOVO MEXICO    ;195;SAO GONCALO;24750055;
GUARATIBA      ;2690;RIO DE JANEIRO-GUARATIBA/SEPETIBA;23031390;
COSMOS         ;2690;RIO DE JANEIRO-COSMOS/INHOAÍBA;23060260;
VARGEM GRANDE  ;246;RIO DE JANEIRO REG.P (RECREIO/VARGEM);22785150;
MANTIQUIRA     ;2701;DUQUE DE CAXIAS REG A;25250460;
SANTA CRUZ     ;202;CAMPOS DOS GOYTACAZES - A;28055293;
TRINDADE       ;195;SAO GONCALO;24457530;
JARDIM SANTA RI;238;NOVA IGUACU;26050200;
UNAMAR         ;192;CABO FRIO DISTRITO;28928548;
WONA           ;2702;BELFORD ROXO;26175080;
JARDIM CORUMBA ;238;NOVA IGUACU;26041730;
RIO DO OURO    ;195;SAO GONCALO;24752710;
TIJUCA         ;183;RIO DE JANEIRO REG. TIJUCA;20520054;
JARDIM JUREMA  ;2703;S.JOAO DE MERITI P.A. REG B;25581260;
CIDADE ALEGRIA ;247;RESENDE;27525004;
JARDIM GRAMACHO;2701;DUQUE DE CAXIAS;25051190;
CIDADE DE DEUS ;243;RIO DE JANEIRO REG.P;22773680;
CAMPO ALEGRE   ;246;NOVA IGUACU CG;26292066;
CITROPOLIS     ;240;JAPERI;26420310;
CHACARAS DE INO;194;MARICA;24940000;
AMENDOEIRA     ;195;SAO GONCALO;24730260;
JARDIM CANAA   ;238;NOVA IGUACU;26263280;
MARECHAL HERMES;2782;RIO DE JANEIRO REG.D;21331060;
PALHADA        ;246;NOVA IGUACU CG;26290390;
ANO BOM        ;248;BARRA MANSA;27321000;
CIDADE DE DEUS ;243;RIO DE JANEIRO REG.P;22770370;
GUARATIBA      ;2690;RIO DE JANEIRO-GUARATIBA/SEPETIBA;23032060;
FLORESTA       ;238;NOVA IGUACU;26031640;
ENGENHO        ;246;ITAGUAI;23820290;
CENTRO         ;239;NILOPOLIS;26515596;
Nova cidade    ;191;ITALVA;28250000;
GRADIM         ;195;SAO GONCALO;24430500;
QUINTINO BOCAIU;2780;RIO DE JANEIRO 2780;21311420;
MARAPICU       ;246;NOVA IGUACU CG;26294503;
RECREIO DOS BAN;246;RIO DE JANEIRO REG.P (RECREIO/VARGEM);22790710;
Botafogo       ;196;CARMO;28640000;
ICARAI         ;193;NITEROI;24220120;
PORTO DA PEDRA ;195;SAO GONCALO;24436230;
SANTO CRISTO   ;183;RIO DE JANEIRO REG. TIJUCA;20220602;
BRISA MAR      ;246;ITAGUAI (COROA GRANDE/ITIMIRM);23826220;
LAFAIETE       ;238;NOVA IGUACU;26261360;
PRATA          ;238;NOVA IGUACU;26015030;
EUCALIPTOS     ;240;JAPERI;26445250;
JARDIM VILA NOV;2701;DUQUE DE CAXIAS;25045303;
JARDIM CATARINA;195;SAO GONCALO;24717047;
PARQUE ANCHIETA;2694;RIO DE JANEIRO REG. ANCHIETA;21625130;
GUARATIBA      ;2690;RIO DE JANEIRO-GUARATIBA/SEPETIBA;23020230;
PEDRO DO RIO   ;200;"PETROPOLIS - INTERIOR
";25750591;
RAMOS          ;2781;RIO DE JANEIRO;21061670;
NOSSASENHORA DA;2506;MENDES;26700000;
PONTE DOS LEITE;192;ARARUAMA;28977010;
TRINDADE       ;195;SAO GONCALO;24457205;
CALEME         ;201;TERESOPOLIS;25970360;
BOTAFOGO       ;241;RIO DE JANEIRO REG.E;22270014;
PARQUE PAULISTA;2701;DUQUE DE CAXIAS REG A;25261290;
GAMBOA         ;183;RIO DE JANEIRO REG. TIJUCA;20221080;
PARQUE PRIMAVER;246;ITAGUAI;23835007;
CAMPO LINDO    ;240;SEROPEDICA;23898455;
ECOLOGIA       ;240;SEROPEDICA;23891385;
TAQUARA        ;243;RIO DE JANEIRO REG.P;22775475;
GRAJAU         ;183;RIO DE JANEIRO REG. TIJUCA;20540341;
CENTRO         ;195;ITAMBI;24868028;
BANGU          ;2694;RIO DE JANEIRO BANGU/REALENGO;21864510;
VARGEM GRANDE  ;246;RIO DE JANEIRO REG.P (RECREIO/VARGEM);22785600;
REALENGO       ;2694;RIO DE JANEIRO BANGU/REALENGO;21735002;
CAMPO GRANDE   ;2690;RIO DE JANEIRO-CAMPO GRANDE/SENADOR VASCONCELOS;23017010;
COMENDADOR SOAR;238;NOVA IGUACU;26262060;
PENTAGNA       ;245;VALENCA;27607530;
SAO LOURENCO   ;193;NITEROI;24060060;
CENTRO         ;239;NILOPOLIS;26525015;
VILA SAO JOAO  ;237;QUEIMADOS;26379010;
CACUIA         ;2782;RIO DE JANEIRO REG.D;21931242;
PARQUE GUARUS  ;202;CAMPOS DOS GOYTACAZES - A;28070022;
JARDIM METROPOL;2703;S.JOAO DE MERITI P.A. REG B;25575010;
SAROLE         ;248;PIRAI;27175000;
VILA LAGE      ;195;SAO GONCALO;24415060;
CORDOVIL       ;2781;RIO DE JANEIRO;21012140;
PARQUE SANTO AM;202;CAMPOS DOS GOYTACAZES - B;28030035;
BARRA DE MACAE ;202;MACAE;27960160;
ANCHIETA       ;2694;RIO DE JANEIRO-REG-M;21655740;
FONSECA        ;193;NITEROI;24120000;
PADRE MIGUEL   ;2694;RIO DE JANEIRO BANGU/REALENGO;21775260;
CERAMICA       ;238;NOVA IGUACU;26030720;
RASA           ;192;ARMACAO DE BUZIOS;28956770;
NOVO HORIZONTE ;202;MACAE;27935140;
MIRAMAR        ;202;MACAE;27943300;
PARQUE CIDADE L;202;CAMPOS DOS GOYTACAZES - A;28060790;
GAVEA          ;242;RIO DE JANEIRO REG.C;22451263;
Lia Mßrcia     ;191;BOM JESUS ITABAPONA;28360000;
ITAIPU         ;193;NITEROI;24340040;
TRIBOBO        ;195;SAO GONCALO;24755240;
RAPOSO         ;191;RAPOSO;28300000;
MORRO DO CARMO ;249;ANGRA DOS REIS;23903150;
VILA SAO JOAO  ;2703;S.JOAO DE MERITI P.A. REG A;25560490;
BALNEARIO      ;249;ANGRA DOS REIS;23906150;
CAMPO GRANDE   ;2690;RIO DE JANEIRO-CAMPO GRANDE/SENADOR VASCONCELOS;23097588;
AJUDA DE BAIXO ;202;MACAE;27971789;
GRAMA          ;238;NOVA IGUACU;26060710;
OURO VERDE     ;238;NOVA IGUACU;26262200;
jardim alvorada;238;NOVA IGUACU;26261060;
JARDIM IGUACU  ;238;NOVA IGUACU;26281240;
SAO DOMINGOS   ;193;NITEROI;24210050;
MARIA PAULA    ;193;NITEROI;24330030;
PENDOTIBA      ;193;NITEROI;24320310;
FREGUESIA      ;243;RIO DE JANEIRO REG.P;22750013;
GARDENIA AZUL  ;243;RIO DE JANEIRO REG.P;22765580;
SENADOR CAMARA ;2694;RIO DE JANEIRO BANGU/REALENGO;21832310;
SANTA CRUZ     ;2690;RIO DE JANEIRO-SANTA CRUZ;23575330;
JARDIM XAVANTES;2702;BELFORD ROXO;26160080;
ALCANTARA      ;195;SAO GONCALO;24451230;
MONTE VERDE    ;195;ITAMBI;24857568;
GUADALUPE      ;2694;RIO DE JANEIRO-REG-M;21665250;
ATALAIA        ;193;NITEROI;24315000;
KENNEDY        ;238;NOVA IGUACU;26020560;
HILDEBRANDO LOP;245;VALENCA;27603250;
RICARDO DE ALBU;2694;RIO DE JANEIRO-REG-M;21665070;
COSTA BARROS   ;2693;RIO DE JANEIRO REG. PAVUNA;21650100;
CAMPO BELO     ;249;ANGRA DOS REIS;23932650;
SAO CRISTOVAO  ;237;QUEIMADOS;26313060;
SAO JORGE      ;240;JAPERI;26475045;
CONEGO         ;204;NOVA FRIBURGO;28621490;
RASA           ;192;ARMACAO DE BUZIOS;28956250;
AMPLIACAO      ;195;ITAMBI;24808396;
INFLUENCIA     ;196;CARMO;28640000;
PARQUE ESPLANAD;202;CAMPOS DOS GOYTACAZES - A;28055470;
centro         ;191;SÃO FIDELIS;28400000;
ITANHANGA      ;243;RIO DE JANEIRO REG.P;22753053;
TAQUARA        ;243;RIO DE JANEIRO REG.P;22723205;
PARQUE JOQUEI C;202;CAMPOS DOS GOYTACAZES - A;28020130;
BONSUCESSO     ;2781;RIO DE JANEIRO;21061020;
BARRO BRANCO   ;191;SÃO FIDELIS;28400000;
NOVA ANGRA     ;249;ANGRA DOS REIS;23933005;
VILA SAO LUIS  ;2701;DUQUE DE CAXIAS;25065143;
BANGU          ;2694;RIO DE JANEIRO BANGU/REALENGO;21875260;
CAMPO GRANDE   ;2690;RIO DE JANEIRO-CAMPO GRANDE/SENADOR VASCONCELOS;23071470;
JARDIM PRAZERES;2704;MAGE;25907632;
JAPUIBA        ;249;ANGRA DOS REIS;23934075;
COPACABANA     ;242;RIO DE JANEIRO REG.C;22031100;
GUARATIBA      ;2690;RIO DE JANEIRO-GUARATIBA/SEPETIBA;23031330;
JARDIM AMERICA ;2781;RIO DE JANEIRO;21240230;
INCONFIDENCIA  ;238;NOVA IGUACU;26085285;
DEL CASTILHO   ;2780;RIO DE JANEIRO 2780;20771360;
CENTRO         ;239;NILOPOLIS;26540010;
JAPUIBA        ;249;ANGRA DOS REIS;23934075;
SANTO CRISTO   ;183;RIO DE JANEIRO REG. TIJUCA;20220750;
RANCHITO       ;249;MANGARATIBA;23860000;
PALMEIRAS      ;248;PINHEIRAL;27197000;
PARQUE ROSARIO ;202;CAMPOS DOS GOYTACAZES - B;28027142;
VINHOSA        ;191;RAPOSO;28300000;
STA CRUZ       ;244;VOLTA REDONDA;27288160;
BANQUETA       ;249;ANGRA DOS REIS;23933620;
PIAO           ;198;SAPUCAIA;25884000;
RETIRO         ;244;VOLTA REDONDA;27277330;
CAJU           ;2799;RIO DE JANEIRO CAJU;20931003;
POSSE          ;238;NOVA IGUACU;26013700;
Reta           ;196;MACUCO;28545000;
BARRA DE SAO JO;194;CASIMIRO DE ABREU;28880000;
TOMAZINHO      ;2703;S.JOAO DE MERITI P.A. REG B;25530260;
VILA SAO LUIS  ;2701;DUQUE DE CAXIAS;25065051;
MORRO DO CARMO ;249;ANGRA DOS REIS;23903125;
JACONE         ;192;SAQUAREMA;28998746;
MARAMBAIA      ;195;SAO GONCALO;24727295;
SANTA CRUZ     ;2690;RIO DE JANEIRO-SANTA CRUZ;23525002;
CAMPO GRANDE   ;2690;RIO DE JANEIRO-CAMPO GRANDE/SENADOR VASCONCELOS;23047160;
SANTA CRUZ     ;2690;RIO DE JANEIRO-SANTA CRUZ;23510560;
LIDICE         ;249;RIO CLARO;27475000;
VISTA ALEGRE   ;248;BARRA MANSA;27320011;
VISTA ALEGRE   ;248;BARRA MANSA;27320050;
VISTA ALEGRE   ;248;BARRA MANSA;27320050;
PARAISO        ;248;BARRA MANSA;27333100;
NOSSA SENHORA D;248;"BARRA MANSA - INTERIOR
";27365144;
ROSELANDIA     ;248;BARRA MANSA;27338260;
CIDADE ALEGRIA ;247;RESENDE;27525350;
JARDIM ITATIAIA;247;ITATIAIA;27580000;
ITAPUCA        ;247;RESENDE;27524120;
JARDIM PORTO RE;247;PORTO REAL;27570000;
SURUBI         ;247;RESENDE;27512060;
LIBERDADE      ;247;RESENDE;27521230;
VICENTINO      ;247;RESENDE;27513284;
VL ISABEL      ;247;RESENDE;27525540;
PARAISO        ;247;RESENDE;27535040;
CIDADE ALEGRIA ;247;RESENDE;27525340;
SAO CAETANO    ;247;RESENDE;27532220;
VILA DA PAZ    ;191;NATIVIDADE;28380000;
SAO JOAO       ;192;SAO PEDRO DA ALDEIA;28942874;
MAZOMBA        ;246;ITAGUAI;23830300;
REALENGO       ;2694;RIO DE JANEIRO BANGU/REALENGO;21721280;
CIDADE PRAIANA ;192;RIO DAS OSTRAS;28890058;
TRES POCOS     ;244;VOLTA REDONDA;27240571;
BOTAFOGO       ;241;RIO DE JANEIRO REG.E;22280110;
UBATIBA        ;194;MARICA;24908105;
CENTRO         ;245;BARRA DO PIRAI;27123190;
CENTRO         ;191;MIRACEMA;28460000;
TRES POCOS     ;244;VOLTA REDONDA;27240571;
MACEIO         ;193;NITEROI;24310260;
APOLO III      ;195;ITABORAI;24800000;
AROEIRA        ;202;MACAE;27946400;
REALENGO       ;2694;RIO DE JANEIRO BANGU/REALENGO;21735035;
TRES POCOS     ;244;VOLTA REDONDA;27240571;
MONTE CASTELO  ;244;VOLTA REDONDA;27253150;
CAMPO GRANDE   ;2690;RIO DE JANEIRO-CAMPO GRANDE/SENADOR VASCONCELOS;23013630;
LAMBICADA      ;249;ANGRA DOS REIS;23913040;
SANTA TERESA   ;183;RIO DE JANEIRO REG. TIJUCA;20241120;
SUMARE         ;196;CORDEIRO;28540000;
AROEIRA        ;202;MACAE;27946400;
JARDIM ESPERANC;192;CABO FRIO;28920256;
VIEIRA         ;201;TERESOPOLIS INT;25995070;
PRADOS VERDES  ;246;NOVA IGUACU CG;26299054;
ROCINHA        ;242;RIO DE JANEIRO REG.C;22451450;
PENHA CIRCULAR ;2781;RIO DE JANEIRO;21210340;
SENADOR CAMARA ;2694;RIO DE JANEIRO BANGU/REALENGO;21842480;
ENGENHO NOVO   ;2780;RIO DE JANEIRO 2780;20780150;
